id,teamid,playername,currentteam,position,status,jerseynumber,goals,GPG,assists,APG,pim,shots,SPG,games,hits,powerplaygoals,powerplaypoints,faceoffpct,plusminus,blocked,BPG,points,PPG,FPPG,timeonicepergame,powerPlayTimeOnIcePerGame,hot,cold,lastupdated
8476312,21,Josh Manson,Colorado Avalanche,Defenseman,Y,42,2,0.09,6,0.26,40,34,1.48,23,52,0,0,0.0,5,32,1.39,8,0.35,6.09,17.18,0.0,1,0,"02/20/2023, 01:26:44"
8477073,21,Kurtis MacDermid,Colorado Avalanche,Defenseman,Y,56,0,0.0,4,0.12,40,14,0.41,34,75,0,0,0.0,-3,20,0.59,4,0.12,1.98,8.01,0.0,0,0,"02/20/2023, 01:26:44"
8477456,21,J.T. Compher,Colorado Avalanche,Left Wing,Y,37,11,0.2,27,0.49,25,108,1.96,55,27,4,10,48.23,2,62,1.13,38,0.69,8.56,20.18,2.18,1,0,"02/20/2023, 01:26:44"
8477476,21,Artturi Lehkonen,Colorado Avalanche,Left Wing,Y,62,17,0.33,21,0.4,22,124,2.38,52,68,7,17,14.29,6,35,0.67,38,0.73,9.25,21.19,3.54,0,0,"02/20/2023, 01:26:45"
8477492,21,Nathan MacKinnon,Colorado Avalanche,Center,Y,29,19,0.43,48,1.09,20,236,5.36,44,31,5,21,45.89,19,23,0.52,67,1.52,17.82,22.36,4.15,1,0,"02/20/2023, 01:26:45"
8477501,21,Valeri Nichushkin,Colorado Avalanche,Right Wing,Y,13,10,0.37,11,0.41,0,85,3.15,27,29,7,9,0.0,7,19,0.7,21,0.78,10.83,20.43,3.32,0,0,"02/20/2023, 01:26:45"
8477971,21,Andreas Englund,Colorado Avalanche,Defenseman,Y,88,0,0.0,3,0.09,26,18,0.53,34,101,0,0,0.0,1,18,0.53,3,0.09,1.93,11.19,0.0,0,0,"02/20/2023, 01:26:45"
8478038,21,Devon Toews,Colorado Avalanche,Defenseman,Y,7,4,0.08,27,0.51,10,105,1.98,53,62,0,2,0.0,18,92,1.74,31,0.58,8.46,25.39,1.53,0,0,"02/20/2023, 01:26:45"
8478420,21,Mikko Rantanen,Colorado Avalanche,Right Wing,Y,96,36,0.65,30,0.55,46,209,3.8,55,58,7,23,45.77,3,31,0.56,66,1.2,14.7,22.49,4.18,0,0,"02/20/2023, 01:26:45"
8478542,21,Evan Rodrigues,Colorado Avalanche,Center,Y,9,11,0.25,15,0.34,20,135,3.07,44,25,5,8,48.61,-2,13,0.3,26,0.59,8.82,18.58,2.26,0,0,"02/20/2023, 01:26:46"
8478843,21,Denis Malgin,Colorado Avalanche,Center,Y,81,4,0.1,4,0.1,6,69,1.77,39,43,0,1,50.0,-3,9,0.23,8,0.21,4.3,10.52,0.56,0,0,"02/20/2023, 01:26:46"
8479398,21,Samuel Girard,Colorado Avalanche,Defenseman,Y,49,4,0.08,19,0.39,16,80,1.63,49,47,0,5,0.0,-10,72,1.47,23,0.47,6.99,21.04,1.15,1,0,"02/20/2023, 01:26:46"
8480069,21,Cale Makar,Colorado Avalanche,Defenseman,Y,8,13,0.28,32,0.7,26,142,3.09,46,59,5,21,0.0,6,61,1.33,45,0.98,12.24,26.56,4.1,0,0,"02/20/2023, 01:26:46"
8481186,21,Logan O'Connor,Colorado Avalanche,Right Wing,Y,25,7,0.13,12,0.22,29,72,1.31,55,93,0,0,10.0,6,34,0.62,19,0.35,4.98,14.52,0.03,0,0,"02/20/2023, 01:26:47"
8481524,21,Bowen Byram,Colorado Avalanche,Defenseman,Y,4,4,0.24,7,0.41,13,23,1.35,17,29,1,2,0.0,6,24,1.41,11,0.65,7.95,21.17,1.1,0,0,"02/20/2023, 01:26:47"
8481618,21,Alex Newhook,Colorado Avalanche,Center,Y,18,12,0.22,8,0.15,14,82,1.49,55,48,1,1,39.49,0,20,0.36,20,0.36,5.32,14.51,1.33,0,0,"02/20/2023, 01:26:47"
8476850,22,Ryan Murray,Edmonton Oilers,Defenseman,I,28,0,0.0,3,0.23,4,8,0.62,13,11,0,0,0.0,-4,12,0.92,3,0.23,3.28,13.07,0.0,0,0,"02/20/2023, 01:26:47"
8475169,22,Evander Kane,Edmonton Oilers,Left Wing,Y,91,9,0.38,10,0.42,33,88,3.67,24,66,0,2,36.84,-1,10,0.42,19,0.79,11.38,18.59,1.5,0,0,"02/20/2023, 01:26:47"
8475197,22,Tyson Barrie,Edmonton Oilers,Defenseman,Y,22,9,0.16,29,0.51,26,102,1.79,57,40,3,24,0.0,-4,66,1.16,38,0.67,8.1,19.15,3.14,0,0,"02/20/2023, 01:26:47"
8475786,22,Zach Hyman,Edmonton Oilers,Left Wing,Y,18,27,0.48,40,0.71,27,214,3.82,56,54,13,21,62.5,13,17,0.3,67,1.2,13.75,20.38,3.3,0,0,"02/20/2023, 01:26:48"
8476454,22,Ryan Nugent-Hopkins,Edmonton Oilers,Center,Y,93,27,0.47,42,0.74,28,138,2.42,57,34,10,37,44.58,6,22,0.39,69,1.21,11.83,19.53,4.02,0,0,"02/20/2023, 01:26:48"
8476879,22,Cody Ceci,Edmonton Oilers,Defenseman,Y,5,1,0.02,8,0.14,18,64,1.12,57,103,0,0,0.0,8,85,1.49,9,0.16,4.49,20.24,0.05,0,0,"02/20/2023, 01:26:48"
8476913,22,Devin Shore,Edmonton Oilers,Center,Y,14,0,0.0,4,0.13,2,18,0.6,30,34,0,0,50.44,3,16,0.53,4,0.13,2.24,8.39,0.02,0,0,"02/20/2023, 01:26:48"
8476967,22,Brett Kulak,Edmonton Oilers,Defenseman,Y,27,2,0.04,12,0.21,33,74,1.3,57,74,0,0,0.0,7,85,1.49,14,0.25,5.28,18.1,0.05,0,0,"02/20/2023, 01:26:48"
8477406,22,Mattias Janmark,Edmonton Oilers,Center,Y,26,5,0.12,12,0.29,16,52,1.27,41,13,0,0,38.24,4,17,0.41,17,0.41,4.91,15.27,0.04,0,0,"02/20/2023, 01:26:49"
8477498,22,Darnell Nurse,Edmonton Oilers,Defenseman,Y,25,6,0.11,22,0.39,49,140,2.46,57,96,0,1,0.0,16,109,1.91,28,0.49,9.06,23.5,0.56,0,0,"02/20/2023, 01:26:49"
8477934,22,Leon Draisaitl,Edmonton Oilers,Center,Y,29,33,0.6,49,0.89,22,171,3.11,55,39,20,40,53.43,-3,30,0.55,82,1.49,14.93,22.05,4.07,0,0,"02/20/2023, 01:26:49"
8477998,22,Warren Foegele,Edmonton Oilers,Left Wing,Y,37,9,0.21,6,0.14,18,80,1.9,42,72,0,0,53.85,2,18,0.43,15,0.36,5.89,12.36,0.17,0,0,"02/20/2023, 01:26:49"
