player_id,date,home_game,opp,TOI,saves,save_perc,goals_against,shots_against,decision,shutout,save_pctg,ot,fantasy_points
8475683,2023-02-16,False,@WSH,60:00,29,0.90625,3,32,W,0,0.90625,0,15.799999999999997
8475683,2023-02-13,False,@MIN,64:29,27,0.964286,1,28,W,0,0.964286,0,21.4
8475683,2023-02-11,True,COL,57:59,45,0.918367,4,49,L,0,0.918367,0,17.499999999999996
8481519,2023-02-14,False,@STL,57:34,22,0.814815,5,27,L,0,0.814815,0,-2.1000000000000014
8481519,2023-01-08,False,@DAL,59:20,29,0.878788,4,33,L,0,0.878788,0,6.299999999999997
8481519,2023-01-03,True,ARI,59:47,33,0.916667,3,36,W,0,0.916667,0,18.599999999999998
8481519,2022-12-30,False,@CAR,60:00,30,0.882353,4,34,L,0,0.882353,0,7.0
8470880,2023-02-15,False,@ARI,64:29,26,1.0,0,26,O,1,1.0,1,24.2
8470880,2023-02-07,True,SJS,62:02,18,0.818182,4,22,O,0,0.818182,1,0.5999999999999996
8470880,2023-01-18,False,@VAN,60:00,37,0.948718,2,39,W,0,0.948718,0,24.9
8470880,2023-01-04,False,@MIN,58:47,28,0.875,4,32,L,0,0.875,0,5.599999999999998
8470880,2023-01-03,False,@CHI,60:00,25,0.961538,1,26,W,0,0.961538,0,20.0
8476883,2023-02-18,False,@VGK,59:38,21,0.84,4,25,L,0,0.84,0,0.6999999999999993
8476883,2023-02-14,False,@COL,64:40,43,0.934783,3,46,W,0,0.934783,0,25.599999999999998
8476883,2023-02-11,False,@DAL,59:57,28,0.965517,1,29,W,0,0.965517,0,22.099999999999998
8476883,2023-02-09,True,COL,60:00,30,1.0,0,30,W,1,1.0,0,31.0
8476883,2023-02-06,False,@FLA,59:54,42,0.857143,7,49,L,0,0.857143,0,4.899999999999999
8475311,2023-02-18,False,@CAR,60:00,31,0.885714,4,35,L,0,0.885714,0,7.699999999999999
8475311,2023-02-16,True,FLA,57:46,30,0.882353,4,34,L,0,0.882353,0,7.0
8475311,2023-02-14,True,CAR,58:07,27,0.9,3,30,L,0,0.9,0,8.399999999999999
8475311,2023-02-11,False,@BOS,60:00,27,0.964286,1,28,W,0,0.964286,0,21.4
8475311,2023-01-29,False,@TOR,34:02,16,0.8,4,20,L,0,0.8,0,-2.8000000000000007
8479292,2023-02-12,True,SJS,58:37,29,0.90625,3,32,L,0,0.90625,0,9.799999999999997
8479292,2023-01-31,False,@CBJ,60:26,31,0.911765,3,34,W,0,0.911765,0,17.2
8479292,2023-01-17,True,MIN,57:21,18,0.857143,3,21,L,0,0.857143,0,2.0999999999999996
